"Word1"	"icd10-wordtokens"	"icd10-I-wordtokens"
"免疫/v"	328	0
"全/a"	265	62
"继发/n2"	308	13
"医疗/n"	318	0
"子宫/n"	312	1
"发育/v"	305	4
"瘘/w"	279	30
"抗/v"	303	0
"史/n"	302	0
"产/v"	300	0
"主动脉/n"	179	118
"分娩/v"	297	0
"下肢/n"	248	47
"损害/v"	293	1
"乘员/n"	292	0
"手/n"	290	0
"破裂/v"	244	46
"上/f"	279	9
"瓣/q"	168	119
"球/n"	284	1
"死/v"	158	125
"功能/n"	272	5
"血栓/n"	160	115
"足/a"	275	0
"肝/n"	264	9
"精神/n"	270	0
"缺乏/v"	270	0
"所/n"	269	0
"梗/v"	143	125
"脓肿/n"	265	2
"未定/v"	262	0
"类/n"	262	0
"淋巴/n"	251	9
"眼/n"	259	1
"组织/n"	260	0
"病毒/n"	258	0
"侧/v"	244	13
"管/v"	251	6
"心/n"	180	75
"车辆/n"	255	0
"皮/n"	245	6
"纤维/n"	242	8
"系统/n"	247	2
"形成/v"	150	96
"人员/n"	245	0
"尿/n"	244	0
"天性/n"	234	9
"心肌/n"	133	110
"囊/n"	239	3
"缺陷/n"	240	0
"前/f"	204	34
"生殖/v"	238	0
"胸/n"	224	14
"不良/a"	232	2
"双/m"	227	7
"合并/v"	231	3
"上肢/n"	211	20
"贫血/v"	231	0
"接触/v"	230	0
"肠/n"	228	1
"后遗症/n"	211	17
"肌腱/n"	228	0
"肾炎/n"	225	0
"脱位/v"	224	0
"药物/n"	222	2
"累及/v"	223	0
"间/f"	214	8
"壁/n"	167	54
"质/n"	220	1
"出/v"	187	32
"大/a"	204	11
"暴露/v"	215	0
"溃疡/n"	205	10
"鼻/n"	215	0
"操作/v"	208	5
"肌肉/n"	209	3
"糖尿病/n"	210	0
"轮/v"	210	0
"个人/n"	209	0
"心脏/n"	165	43
"单/d"	207	0
"原位/n"	207	0
"及/v"	196	11
"检查/v"	207	0
"术/v"	195	8
"恶性/b"	200	1
"物质/n"	201	0
"无/v"	192	7
"腕/n"	198	0
"胃/n"	193	4
"口/n"	196	0
"流产/v"	196	0
"脊髓/n"	196	0
"咽/v"	195	0
"肩/n"	195	0
"见/v"	195	0
"肝炎/n"	192	0
"食管/n"	183	9
"代谢/v"	190	1
"牙/n"	191	0
"状态/n"	190	1
"反应/n"	188	1
"影响/v"	188	0
"烧伤/v"	188	0
"转移/v"	188	0
"裂/v"	187	0
"动脉瘤/n"	103	83
"变/v"	183	3
"肺炎/n"	186	0
"尿道/n"	185	0
"白血病/n"	185	0
"位/q"	180	2
"重型/b"	182	0
"并/d"	181	0
"甲状腺/n"	181	0
"周围/f"	171	9
"问题/n"	180	0
"胎/n"	178	0
"皮炎/n"	176	1
"s/x"	161	15
"伤口/n"	176	0
"机动车/n"	176	0
"具有/v"	174	0
"特/d"	166	8
"公共/b"	173	0
"小汽车/n"	173	0
"紊乱/a"	173	0
"大脑/n"	119	51
"栓塞/n"	111	59
"轻型/b"	169	0
"假/a"	167	1
"事件/n"	167	0
"使用/v"	167	0
"剂/q"	167	0
"汽车/n"	167	0
"滑/v"	167	0
"结缔组织/n"	167	0
"运输车/n"	167	0
"骨盆/n"	167	0
"原因/n"	166	0
"芽/n"	166	0
"阴道/n"	166	0
"篷车/n"	165	0
"货车/n"	165	0
"浅表/b"	160	4
"膀胱/n"	163	1
"原/b"	156	7
"梗阻/v"	159	4
"脊柱/n"	161	2
"弥漫/v"	161	0
"耳/n"	156	3
"营养/n"	158	1
"异物/n"	158	0
"期/n"	149	9
"腹/n"	133	25
"腹膜/n"	158	0
"血性/n"	137	21
"陈旧/a"	148	10
"风湿/n"	90	67
"腐蚀/v"	156	0
"化/v"	153	2
"情况/n"	155	0
"治疗/v"	154	1
"萎缩/v"	154	1
"视网膜/n"	154	1
"室/n"	132	22
"高血压/n"	99	55
"坏死/v"	150	3
"肉瘤/n"	153	0
"女性/n"	152	0
"踝/w"	152	0
"闭塞/v"	82	70
"宫/n"	150	0
"个/q"	139	10
"器/n"	149	0
"异/a"	149	0
"硬化/v"	117	32
"z/x"	136	12
"角膜/n"	148	0
"颅/n"	133	14
"未知/v"	146	0
"动/v"	105	40
"曲/n"	98	47
"泌/n"	145	0
"穿孔/v"	143	2
"肉/n"	145	0
"脱/v"	138	7
"行为/n"	145	0
"直肠/n"	142	2
"道/n"	143	1
"酒精/n"	142	2
"淋巴结/n"	136	7
"传染病/n"	136	6
"关节炎/n"	139	1
"积/v"	130	10
"乳头/n"	134	5
"支气管/n"	137	2
"缺/v"	136	3
"盆腔/n"	134	4
"高/a"	135	3
"产褥期/t"	137	0
"制剂/n"	137	0
"受/v"	135	2
"增生/v"	135	2
"韧带/n"	137	0
"髋/w"	137	0
"造成/v"	132	4
"孕产妇/n"	134	0
"完全性/n"	128	6
"家族/n"	131	1
"甲/n"	132	0
"脓/n"	123	9
"乳房/n"	128	2
"张/q"	84	46
"作为/v"	115	14
"尖/a"	81	48
"肾上腺/n"	129	0
"脚踏车/n"	129	0
"输尿管/n"	129	0
"痛/a"	127	1
"细菌/n"	121	7
"卵巢/n"	127	0
"寄生虫/n"	121	6
"软骨/n"	126	0
"度/v"	119	6
"二尖瓣/n"	71	53
"旁/f"	122	2
"毛/n"	111	13
"神经病/n"	124	0
"心脏病/n"	69	53
"筛/v"	121	0
"致/v"	121	0
"炎性/n"	117	3
"结节/n"	119	1
"阴/a"	118	2
"入/v"	106	13
"前臂/n"	119	0
"包括/v"	119	0
"变性/v"	115	4
"呼吸/v"	118	1
"生/v"	116	3
"健康/a"	118	0
"关闭/v"	68	50
"扭伤/v"	118	0
"用/p"	118	0
"指/v"	117	0
"疝/w"	117	0
"核/n"	113	3
"脑膜炎/n"	116	0
"复发/v"	114	1
"结肠/n"	115	0
"主要/b"	114	0
"小腿/n"	114	0
"给予/v"	114	0
"腔/q"	91	23
"Mg/x"	113	0
"区/n"	113	0
"症状/n"	111	2
"脑炎/n"	113	0
"锁/v"	109	4
"喉/n"	112	0
"意外/a"	111	1
"素/n"	112	0
"麻痹/a"	112	0
"传导/v"	64	47
"切断/v"	111	0
"源/n"	100	11
"变形/v"	110	0
"唇/n"	110	0
"移植/v"	107	2
"进行/v"	107	2
"闭/v"	105	4
"增多/v"	108	0
"男性/n"	108	0
"虫/n"	106	2
"劳损/v"	107	0
"学/v"	107	0
"躯干/n"	106	1
"过度/d"	107	0
"阻滞/v"	65	42
"如/v"	105	0
"染色体/n"	105	0
"查/v"	105	0
"标本/n"	105	0
"脂肪/n"	104	1
"静脉炎/n"	60	45
"低/a"	102	2
"水肿/n"	96	8
"癫痫/n"	104	0
"软组织/n"	104	0
"运输/v"	104	0
"大腿/n"	103	0
"头/n"	101	2
"植入/v"	103	0
"母体/n"	103	0
"涉及/v"	103	0
"疱疹/n"	103	0
"遗传性/n"	101	2
"幼年/t"	102	0
"舌/n"	100	2
"黑色素/n"	102	0
"底/n"	85	16
"挤压/v"	100	1
"发作/v"	100	0
"息肉/n"	100	0
"气管/n"	100	0
"程/n"	100	0
"粘连/v"	97	3
"肛门/n"	99	1
"细/a"	86	13
"面/n"	99	0
"形/n"	98	0
"肥大/a"	92	6
"肾病/n"	98	0
"身体/n"	98	0
"应/v"	97	0
"睾丸/n"	97	0
"突/d"	97	0
"窦/n1"	93	4
"被/p"	93	4
"上臂/n"	95	0
"二/m"	87	8
"化脓/v"	93	2
"球菌/n"	95	0
"硬/a"	86	9
"黏液/n"	95	0
"交/v"	94	0
"热/n"	94	0
"骑/v"	94	0
"亚/b"	85	8
"小肠/n"	92	1
"毒/n"	93	0
"物性/n"	90	3
"精神病/n"	93	0
"肺动脉/n"	63	30
"胸部/n"	93	0
"全身性/n"	90	2
"十二指肠/n"	89	3
"斑/n"	91	1
"液/n"	88	4
"端/v"	91	1
"缺失/n"	92	0
"提及/v"	77	14
"眼睑/n"	91	0
"背/v"	91	0
"过/d"	91	0
"酸/n"	91	0
"一/m"	87	3
"周/n"	89	1
"呼吸道/n"	90	0
"扩张/v"	74	16
"摩托车/n"	90	0
"潜在/b"	90	0
"腹腔/n"	81	9
"输卵管/n"	90	0
"部分/n"	87	3
"挫伤/v"	89	0
"搭/v"	89	0
"混合/v"	88	1
"线/n"	89	0
"胆囊/n"	89	0
"脾/n"	83	6
"良性/b"	88	1
"蛋白/n"	88	1
"跨越/v"	89	0
"髂/w"	62	27
"人工/n"	84	4
"杆菌/n"	88	0
"胆/n"	88	0
"胞/w"	88	0
"酶/n"	88	0
"梅毒/n"	86	1
"椎/w"	73	14
"维生素/n"	87	0
"减退/v"	86	0
"化学/n"	86	0
"坏疽/n"	83	3
"头部/n"	86	0
"瘢痕/n"	86	0
"结石/n"	86	0
"基/n"	68	17
"痣/n"	81	4
"红/a"	81	4
"趾/w"	83	2
"造/v"	85	0
"人类/n"	84	0
"嗜/v"	82	2
"淋巴细胞/n"	84	0
"脊/n"	82	1
"腹部/n"	83	0
"副/b"	82	0
"垂/v"	74	7
"段/q"	74	7
"经/p"	81	0
"胆管/n"	81	0
"膝关节/n"	80	0
"对/p"	79	0
"局部/n"	79	0
"依赖/v"	78	0
"失败/v"	78	0
"意图/n"	78	0
"沉着/a"	78	0
"物体/n"	78	0
"真菌/n"	77	1
"确定/v"	78	0
"脂/w"	78	0
"衰竭/v"	70	8
"角/n"	78	0
"阴茎/n"	77	1
"髓/w"	78	0
"故意/d"	77	0
"特殊/a"	77	0
"霍奇金/nf"	77	0
"骶/w"	77	0
"冻伤/v"	76	0
"断裂/v"	66	10
"腺/n"	76	0
"节/n"	74	2
"诊断/v"	76	0
"黏膜/n"	76	0
"分裂/v"	75	0
"皮质/n"	70	5
"而/c"	75	0
"虹膜/n"	75	0
"乳/n"	73	1
"固定/v"	74	0
"胸腔/n"	74	0
"血肿/n"	69	5
"软骨病/n"	74	0
"黑/a"	74	0
"根/n"	73	0
"痉挛/v"	68	5
"股/n"	57	16
"腹股沟/n"	72	1
"麻醉/v"	73	0
"中枢神经/n"	72	0
"导管/n"	70	2
"炎症/n"	66	6
"HIV/x"	71	0
"并发/v"	71	0
"征/v"	71	0
"泡/v"	71	0
"消化/v"	71	0
"缺损/v"	63	8
"体性/n"	70	0
"假性/b"	47	23
"口腔/n"	70	0
"四肢/n"	64	6
"憩/v"	70	0
"机械/n"	70	0
"胎盘/n"	70	0
"膝/n"	70	0
"扁桃体/n"	69	0
"椎间盘/n"	69	0
"红细胞/n"	69	0
"内分泌/n"	66	2
"吸/v"	68	0
"外科/n"	66	2
"母/b"	68	0
"围/v"	67	0
"形式/n"	67	0
"心肌炎/n"	41	26
"机动/b"	67	0
"泪/n"	67	0
"系/v"	67	0
"脑膜/n"	66	1
"髋关节/n"	67	0
"妊娠期/t"	66	0
"必要/a"	66	0
"溶/v"	66	0
"脉/n"	47	19
"钙化/v"	59	7
"颌/w"	65	1
"巨/n"	65	0
"心包炎/n"	37	28
"材料/n"	65	0
"翻/v"	65	0
"肠系膜/n"	57	8
"肠道/n"	65	0
"胃肠/n"	64	1
"自/p"	64	1
"行人/n"	65	0
"黄疸/n"	65	0
"成/v"	64	0
"疱/n"	64	0
"缺血/v"	47	17
"胰腺/n"	64	0
"运动/n"	64	0
"采取/v"	64	0
"前列腺/n"	63	0
"叶/n"	61	2
"散/v"	63	0
"结膜炎/n"	63	0
"诊/v"	63	0
"铁路/n"	63	0
"随/p"	63	0
"内出血/v"	36	26
"头痛/a"	62	0
"抑郁/a"	62	0
"流行性/b"	62	0
"病人/n"	62	0
"肺结核/n"	62	0
"除外/v"	60	2
"增/v"	60	1
"昏迷/v"	61	0
"监督/v"	61	0
"肾盂/n"	61	0
"脉络/n"	61	0
"腰椎/n"	61	0
"过敏/v"	61	0
"链球菌/n"	60	1
"阻塞/v"	54	7
"面部/n"	60	1
"分离/v"	60	0
"性腺/n"	60	0
"细菌学/n"	60	0
"骨髓炎/n"	60	0
"乙/m"	58	1
"冠状动脉/n"	38	21
"加害/v"	59	0
"及其/c"	59	0
"房/n"	48	11
"播/v"	59	0
"淋巴结炎/n"	40	19
"皮下组织/n"	59	0
"骨髓/n"	59	0
"支气管炎/n"	58	0
"淋巴管/n"	45	13
"火车/g"	58	0
"粥/n"	29	29
"纵隔/n"	57	1
"结肠炎/n"	58	0
"胰腺炎/n"	58	0
"蜂窝/n"	58	0
"鞘/w"	58	0
"半/m"	57	0
"幻/v"	57	0
"棘/n"	57	0
"氏/n"	57	0
"瓣膜/n"	39	18
"章/n"	57	0
"筋/n"	57	0
"脐带/n"	57	0
"自然/n"	57	0
"药剂/n"	57	0
"干/v"	51	5
"生物/n"	50	6
"痴呆/z"	56	0
"粒/q"	56	0
"肥厚/a"	48	8
"脑血管/n"	38	18
"自主/v"	56	0
"蛋白尿/n"	56	0
"血液/n"	56	0
"该/v"	56	0
"阿/b"	55	1
"露/v"	56	0
"骨质/n"	56	0
"人格/n"	55	0
"会阴/n"	55	0
"垂体/n"	55	0
"外耳/n"	55	0
"婴儿/n"	55	0
"白内障/n"	55	0
"睫状体/n"	55	0
"脊椎/n"	55	0
"T/n/url"	54	0
"先/d"	54	0
"可疑/a"	54	0
"咨询/v"	54	0
"小脑/n"	46	8
"片/q"	54	0
"织/v"	54	0
"胰岛素/n"	54	0
"腰/n"	54	0
"青光眼/n"	54	0
"任何/r"	51	2
"胸膜/n"	53	0
"B/n/url"	52	0
"两/m"	52	0
"神经系统/n"	52	0
"食物/n"	52	0
"巨细/n"	51	0
"念珠/n"	51	0
"接受/v"	51	0
"类风湿/n"	51	0
"结膜/n"	51	0
"败血症/n"	51	0
"过速/a"	29	22
"重度/b"	50	1
"凝/v"	50	0
"嵌/v"	50	0
"激/v"	47	3
"灶/n"	49	1
"球蛋白/n"	50	0
"童年/t"	50	0
"锁骨/n"	42	8
"隐/v"	46	4
"颈椎/n"	50	0
"丧失/v"	49	0
"以后/f"	49	0
"休克/v"	49	0
"减少/v"	49	0
"回/v"	49	0
"孢子/n"	49	0
"情感/n"	49	0
"期间/f"	49	0
"板/n"	49	0
"淋/v"	49	0
"眶/n"	46	3
"眼球/n"	49	0
"空肠/n"	48	1
"脊髓炎/n"	49	0
"蛛网/n"	26	23
"调整/v"	49	0
"轻度/d"	49	0
"辆/q"	49	0
"透/v"	41	8
"非机动车/n"	49	0
"1/m"	47	1
"产前/t"	48	0
"心包/n"	30	18
"心室/n"	31	17
"心血管/n"	42	6
"房室/n"	30	18
"相关性/n"	48	0
"胰/n"	47	1
"蒸气/n"	48	0
"中耳炎/n"	47	0
"亢进/v"	47	0
"人/n"	47	0
"切除/v"	45	2
"完全/a"	47	0
"早期/t"	47	0
"时/n"	47	0
"残留/v"	45	2
"疏松/v"	47	0
"病理/n"	47	0
"证实/v"	47	0
"阴囊/n"	44	3
"颅骨/n"	47	0
"~/w"	46	0
"丛/n"	46	0
"产科/n"	46	0
"体表/n"	46	0
"卡/n"	46	0
"断/v"	46	0
"淀粉/n"	45	1
"激素/n"	46	0
"直/d"	46	0
"短暂/a"	46	0
"移/v"	46	0
"脑积水/n"	46	0
"阵/n"	31	15
"骨骼/n"	46	0
"下颌/n"	45	0
"克/q"	44	1
"内部/f"	45	0
"吻合/v"	45	0
"左/a"	28	17
"改变/v"	45	0
"痰/n"	45	0
"癣/n"	45	0
"结构/n"	45	0
"迟缓/a"	45	0
"银屑病/n"	45	0
"隔/v"	45	0
"Rg/x"	43	1
"丙/Mg"	44	0
"媒介/n"	44	0
"植/v"	44	0
"植物/n"	44	0
"浆/n"	44	0
"理性/n"	44	0
"粒细胞/n"	44	0
"联合/v"	43	1
"肾衰竭/n"	36	8
"行/n"	41	3
"重症/n"	44	0
"除/p"	35	9
"中度/b"	42	1
"动静/n"	29	14
"困难/a"	43	0
"失/v"	43	0
"失调/v"	43	0
"安装/v"	43	0
"层/n"	43	0
"张力/n"	43	0
"性病/n"	43	0
"松弛/a"	43	0
"消化系统/n"	43	0
"滤/v"	43	0
"玻璃体/n"	43	0
"老年性/n"	40	3
"自发性/n"	43	0
"葡萄胎/n"	43	0
"起源/n"	43	0
"近期/t"	26	17
"造血/v"	43	0
"静止/v"	43	0
"偏/d"	42	0
"分化/v"	42	0
"化合物/n"	42	0
"因子/n"	42	0
"局限性/n"	40	2
"康复/v"	42	0
"当时/t"	42	0
"戒/v"	42	0
"晶状体/n"	42	0
"混合型/n"	41	1
"生性/n"	42	0
"生殖器/n"	42	0
"由于/p"	42	0
"短/a"	41	1
"类型/n"	33	9
"索/v"	34	8
"能/v"	42	0
"脑室/n"	42	0
"血小板/n"	42	0
"辐射/v"	42	0
"右/f"	27	14
"尔/y"	40	1
"延迟/v"	41	0
"心力衰竭/n"	22	19
"感觉/n"	41	0
"栓/n"	23	18
"牲畜/n"	41	0
"肠炎/n"	41	0
"股骨/n"	41	0
"胸椎/n"	41	0
"观察/v"	41	0
"视/v"	41	0
"软化/v"	38	3
"孔/n"	40	0
"局/n"	39	1
"心房/n"	23	17
"桡骨/n"	40	0
"紫癜/n"	40	0
"肱骨/n"	40	0
"连接/v"	40	0
"A/n/url"	39	0
"刺激性/n"	39	0
"唇裂/n"	39	0
"场所/n"	39	0
"声带/n"	39	0
"头皮/n"	39	0
"弯/v"	37	2
"支架/n"	30	9
"斜视/v"	39	0
"束/v"	28	11
"气体/n"	39	0
"病变/v"	39	0
"糖/n"	39	0
"肾脏/n"	25	14
"钙/n"	39	0
"间隔/n"	31	8
"颞/w"	37	2
"丝/n"	36	2
"再生/v"	38	0
"凸/v"	36	2
"单纯/a"	37	1
"压/v"	35	3
"屈/v"	38	0
"带/v"	38	0
"循环系统/n"	26	12
"持续性/n"	37	1
"掌/n"	38	0
"搏/v"	30	8
"方式/n"	38	0
"月/n"	38	0
"疫苗/n"	38	0
"缩/v"	35	3
"葡萄球菌/n"	38	0
"酮/w"	38	0
"骨化/v"	38	0
"不足/v"	34	3
"同/p"	37	0
"听觉/n"	37	0
"呼吸系统/n"	37	0
"增殖/v"	37	0
"外耳道/n"	37	0
"帕金森/nf"	37	0
"幼/n"	37	0
"挛缩/v"	37	0
"整形/v"	37	0
"斜/v"	37	0
"族/n"	37	0
"机能/n"	35	2
"焦虑/a"	37	0
"疣/w"	37	0
"疼痛/a"	37	0
"眼眶/n"	36	1
"积水/n"	37	0
"网膜/n"	29	8
"膨/w"	37	0
"血清/n"	37	0
"轻/v"	37	0
"过敏性/n"	37	0
"阑尾/n"	37	0
"供/v"	33	3
"因素/n"	34	2
"心理/n"	36	0
"心绞痛/n"	18	18
"撕裂/v"	36	0
"支/q"	23	13
"溶剂/n"	36	0
"溺/v"	36	0
"盆/n"	36	0
"肝硬化/n"	36	0
"背部/n"	36	0
"胫/n"	33	3
"胫骨/n"	36	0
"腭/w"	36	0
"腭裂/n"	36	0
"贮/v"	36	0
"赘/a"	26	10
"额/n"	36	0
"儿童/n"	35	0
"失常/a"	25	10
"孤立/v"	33	2
"巩膜/n"	35	0
"斯/b"	34	1
"晚期/t"	35	0
"暂时性/n"	35	0
"沉没/v"	35	0
"淹/v"	35	0
"环境/n"	35	0
"生物制品/n"	35	0
"疟疾/n"	35	0
"缝/n"	35	0
"肠梗阻/n"	35	0
"脑神经/n"	35	0
"腱/w"	29	6
"荨麻疹/n"	35	0
"表皮/n"	35	0
"输血/v"	35	0
"酸中毒/n"	35	0
"铁/n"	35	0
"附/v"	34	1
"预防/v"	35	0
"颈内/s"	25	10
"专用/v"	34	0
"共/d"	34	0
"压迫/v"	30	4
"外部/f"	32	2
"多种/m"	34	0
"害/n"	34	0
"尺骨/n"	34	0
"抗生素/n"	34	0
"措施/n"	34	0
"早/a"	34	0
"极/d"	25	9
"某些/r"	33	1
"特异/z"	22	12
"胆囊炎/n"	34	0
"臂/n"	33	1
"视神经/n"	34	0
"降/v"	31	3
"鼓/v"	34	0
"Ⅱ/m"	30	3
"伤寒/n"	33	0
"动脉血/n"	18	15
"反/v"	33	0
"发射/v"	33	0
"复合/v"	33	0
"天疱疮/n"	33	0
"强硬/a"	33	0
"总管/n"	33	0
"放射/v"	33	0
"机构/n"	33	0
"死亡/v"	33	0
"矫形/v"	33	0
"神经性/n"	33	0
"肢/n"	31	2
"肿胀/v"	33	0
"谵妄/n"	33	0
"髌骨/n"	33	0
"上颌/n"	32	0
"主/n"	23	9
"仅/d"	32	0
"保健/n"	32	0
"典型/n"	32	0
"动脉硬化/n"	20	12
"哮喘/n"	31	1
"圆/n"	32	0
"宫内/f"	32	0
"影像/n"	32	0
"析/v"	32	0
"格/n"	30	2
"次/a"	32	0
"涎/w"	32	0
"烟草/n"	32	0
"牙龈/n"	32	0
"疝/n"	32	0
"碱/n"	32	0
"神经炎/n"	32	0
"肝病/n"	32	0
"腓骨/n"	32	0
"跖/w"	32	0
"附件/n"	32	0
"高压/n"	24	8
"会厌/n"	31	0
"传染性/n"	31	0
"前庭/n"	31	0
"口炎/n"	31	0
"呼吸器官/n"	31	0
"拇指/n"	31	0
"斑疹/n"	31	0
"月经/n"	31	0
"瘫痪/v"	31	0
"精/a"	29	2
"职业性/n"	31	0
"色素/n"	31	0
"躯体/n"	31	0
"鳞/n"	31	0
"中耳/n"	30	0
"产后/t"	30	0
"低血压/n"	18	12
"作用/n"	30	0
"免疫性/n"	30	0
"兴奋剂/n"	30	0
"分泌/v"	30	0
"发热/v"	30	0
"器械/n"	30	0
"带状/n"	30	0
"常/d"	30	0
"干燥/a"	30	0
"循环/v"	30	0
"成人/n"	30	0
"拮/w"	30	0
"排斥/v"	30	0
"残/a"	30	0
"波/n"	30	0
"流/v"	29	1
"消化道/n"	30	0
"激素类/n"	30	0
"环/n"	30	0
"痤疮/n"	30	0
"相/d"	30	0
"窄/a"	26	4
"紧张/a"	30	0
"肋骨/n"	30	0
"肘关节/n"	30	0
"胃炎/n"	30	0
"胸骨/n"	30	0
"膀胱炎/n"	30	0
"自身/r"	30	0
"苯/n"	30	0
"血吸虫/n"	30	0
"衣原/n"	30	0
"跌落/v"	30	0
"遗忘/v"	30	0
"乳腺/n"	28	1
"吸收/v"	29	0
"咽炎/n"	29	0
"大肠/n"	29	0
"心律/n"	19	10
"活性/n"	29	0
"浸润/v"	29	0
"疹/w"	29	0
"痒/a"	29	0
"痢疾/n"	29	0
"白喉/n"	29	0
"白斑/n"	29	0
"睑/w"	29	0
"社会/n"	29	0
"神经痛/n"	29	0
"窦炎/n"	29	0
"系统性/n"	28	1
"胆管炎/n"	29	0
"脂/n"	29	0
"脐/n"	29	0
"脱离/v"	29	0
"腘/w"	22	7
"腮腺炎/n"	29	0
"衍生物/n"	29	0
"西/f"	29	0
"遗留/v"	29	0
"阿米巴/n"	29	0
"内分泌腺/n"	28	0
"功能性/n"	26	2
"抑/v"	28	0
"无力/v"	28	0
"杀虫剂/n"	28	0
"梭/n"	28	0
"槽/n"	28	0
"正常/a"	28	0
"汗/n"	28	0
"活/n"	28	0
"济/b"	28	0
"烟雾/n"	26	2
"狂/d"	28	0
"生长/v"	28	0
"百日咳/n"	28	0
"监测/v"	28	0
"睡眠/v"	28	0
"称/v"	28	0
"移位/v"	28	0
"窝/n"	28	0
"立/v"	28	0
"羊水/n"	28	0
"胞/n"	28	0
"脱发/v"	28	0
"腓/w"	26	2
"膈/w"	28	0
"臀/n"	28	0
"血红/z"	28	0
"表现/v"	28	0
"角膜炎/n"	28	0
"镇静剂/n"	28	0
"镜/n"	28	0
"长/v"	27	1
"难产/v"	28	0
"2/m"	26	1
"乙状结肠/n"	27	0
"伸/v"	27	0
"原虫/n"	27	0
"咬/v"	27	0
"地/n"	27	0
"均/d"	27	0
"少/a"	27	0
"布/n"	27	0
"强/a"	27	0
"情绪/n"	27	0
"放射性/n"	27	0
"明确/v"	24	3
"生活/v"	27	0
"病原体/n"	27	0
"目前/t"	27	0
"软/a"	27	0
"顿/d"	27	0
"之间/f"	26	0
"交界/v"	21	5
"全身/n"	26	0
"出生/v"	26	0
"夹层/n"	13	13
"拉/v"	26	0
"持续/v"	26	0
"插入/v"	26	0
"染/v"	26	0
"毛囊/n"	26	0
"气/n"	26	0
"氨/n"	26	0
"滥用/v"	26	0
"灰质炎/n"	26	0
"用途/n"	26	0
"盲/n"	26	0
"第一/m"	26	0
"级/n"	19	7
"维护/v"	26	0
"网状/n"	26	0
"肘/n"	26	0
"色/n"	26	0
"蛛/w"	18	8
"行动/v"	26	0
"解/v"	26	0
"跌倒/v"	26	0
"路/n"	24	2
"阑尾炎/n"	26	0
"附睾/n"	26	0
"颊/n"	26	0
"麻醉药/n"	26	0
"Ⅰ/m"	24	1
"中枢/n"	25	0
"冠/v"	23	2
"利/n"	24	1
"动物/n"	25	0
"可卡因/n"	25	0
"平衡/a"	25	0
"度/q"	25	0
"感冒/v"	25	0
"扁平/b"	25	0
"持久/a"	25	0
"松/v"	25	0
"构/v"	25	0
"氧/n"	25	0
