"Word1"	"icd10-wordtokens"	"icd10-I-wordtokens"
"行为/n"	145	0
"直肠/n"	142	2
"道/n"	143	1
"酒精/n"	142	2
"淋巴结/n"	136	7
"传染病/n"	136	6
"关节炎/n"	139	1
"乳头/n"	134	5
"支气管/n"	137	2
"盆腔/n"	134	4
"制剂/n"	137	0
"韧带/n"	137	0
"孕产妇/n"	134	0
"完全性/n"	128	6
"家族/n"	131	1
"甲/n"	132	0
"脓/n"	123	9
"乳房/n"	128	2
"肾上腺/n"	129	0
"脚踏车/n"	129	0
"输尿管/n"	129	0
"细菌/n"	121	7
"卵巢/n"	127	0
"寄生虫/n"	121	6
"软骨/n"	126	0
"二尖瓣/n"	71	53
"毛/n"	111	13
"神经病/n"	124	0
"心脏病/n"	69	53
"炎性/n"	117	3
"结节/n"	119	1
"前臂/n"	119	0
"核/n"	113	3
"脑膜炎/n"	116	0
"结肠/n"	115	0
"小腿/n"	114	0
"区/n"	113	0
"症状/n"	111	2
"脑炎/n"	113	0
"喉/n"	112	0
"素/n"	112	0
"源/n"	100	11
"唇/n"	110	0
"男性/n"	108	0
"虫/n"	106	2
"躯干/n"	106	1
"染色体/n"	105	0
"标本/n"	105	0
"脂肪/n"	104	1
"静脉炎/n"	60	45
"水肿/n"	96	8
"癫痫/n"	104	0
"软组织/n"	104	0
"大腿/n"	103	0
"头/n"	101	2
"母体/n"	103	0
"疱疹/n"	103	0
"遗传性/n"	101	2
"舌/n"	100	2
"黑色素/n"	102	0
"底/n"	85	16
"息肉/n"	100	0
"气管/n"	100	0
"程/n"	100	0
"肛门/n"	99	1
"面/n"	99	0
"形/n"	98	0
"肾病/n"	98	0
"身体/n"	98	0
"睾丸/n"	97	0
"上臂/n"	95	0
"球菌/n"	95	0
"黏液/n"	95	0
"热/n"	94	0
"小肠/n"	92	1
"毒/n"	93	0
"物性/n"	90	3
"精神病/n"	93	0
"肺动脉/n"	63	30
"胸部/n"	93	0
"全身性/n"	90	2
"十二指肠/n"	89	3
"斑/n"	91	1
"液/n"	88	4
"缺失/n"	92	0
"眼睑/n"	91	0
"酸/n"	91	0
"周/n"	89	1
"呼吸道/n"	90	0
"摩托车/n"	90	0
"腹腔/n"	81	9
"输卵管/n"	90	0
"部分/n"	87	3
"线/n"	89	0
"胆囊/n"	89	0
"脾/n"	83	6
"蛋白/n"	88	1
"人工/n"	84	4
"杆菌/n"	88	0
"胆/n"	88	0
"酶/n"	88	0
"梅毒/n"	86	1
"维生素/n"	87	0
"化学/n"	86	0
"坏疽/n"	83	3
"头部/n"	86	0
"瘢痕/n"	86	0
"结石/n"	86	0
"基/n"	68	17
"痣/n"	81	4
"人类/n"	84	0
"淋巴细胞/n"	84	0
"脊/n"	82	1
"腹部/n"	83	0
"胆管/n"	81	0
"膝关节/n"	80	0
"局部/n"	79	0
"意图/n"	78	0
"物体/n"	78	0
"真菌/n"	77	1
"角/n"	78	0
"阴茎/n"	77	1
"腺/n"	76	0
"节/n"	74	2
"黏膜/n"	76	0
"皮质/n"	70	5
"虹膜/n"	75	0
"乳/n"	73	1
"胸腔/n"	74	0
"血肿/n"	69	5
"软骨病/n"	74	0
"根/n"	73	0
"股/n"	57	16
"腹股沟/n"	72	1
"中枢神经/n"	72	0
"导管/n"	70	2
"炎症/n"	66	6
"体性/n"	70	0
"口腔/n"	70	0
"四肢/n"	64	6
"机械/n"	70	0
"胎盘/n"	70	0
"膝/n"	70	0
"扁桃体/n"	69	0
"椎间盘/n"	69	0
"红细胞/n"	69	0
"内分泌/n"	66	2
"外科/n"	66	2
"形式/n"	67	0
"心肌炎/n"	41	26
"泪/n"	67	0
"脑膜/n"	66	1
"髋关节/n"	67	0
"脉/n"	47	19
"巨/n"	65	0
"心包炎/n"	37	28
"材料/n"	65	0
"肠系膜/n"	57	8
"肠道/n"	65	0
"胃肠/n"	64	1
"行人/n"	65	0
"黄疸/n"	65	0
"疱/n"	64	0
"胰腺/n"	64	0
"运动/n"	64	0
"前列腺/n"	63	0
"叶/n"	61	2
"结膜炎/n"	63	0
"铁路/n"	63	0
"病人/n"	62	0
"肺结核/n"	62	0
"肾盂/n"	61	0
"脉络/n"	61	0
"腰椎/n"	61	0
"链球菌/n"	60	1
"面部/n"	60	1
"性腺/n"	60	0
"细菌学/n"	60	0
"骨髓炎/n"	60	0
"冠状动脉/n"	38	21
"房/n"	48	11
"淋巴结炎/n"	40	19
"皮下组织/n"	59	0
"骨髓/n"	59	0
"支气管炎/n"	58	0
"淋巴管/n"	45	13
"粥/n"	29	29
"纵隔/n"	57	1
"结肠炎/n"	58	0
"胰腺炎/n"	58	0
"蜂窝/n"	58	0
"棘/n"	57	0
"氏/n"	57	0
"瓣膜/n"	39	18
"章/n"	57	0
"筋/n"	57	0
"脐带/n"	57	0
"自然/n"	57	0
"药剂/n"	57	0
"生物/n"	50	6
"脑血管/n"	38	18
"蛋白尿/n"	56	0
"血液/n"	56	0
"骨质/n"	56	0
"人格/n"	55	0
"会阴/n"	55	0
"垂体/n"	55	0
"外耳/n"	55	0
"婴儿/n"	55	0
"白内障/n"	55	0
"睫状体/n"	55	0
"脊椎/n"	55	0
"小脑/n"	46	8
"胰岛素/n"	54	0
"腰/n"	54	0
"青光眼/n"	54	0
"胸膜/n"	53	0
"神经系统/n"	52	0
"食物/n"	52	0
"巨细/n"	51	0
"念珠/n"	51	0
"类风湿/n"	51	0
"结膜/n"	51	0
"败血症/n"	51	0
"灶/n"	49	1
"球蛋白/n"	50	0
"锁骨/n"	42	8
"颈椎/n"	50	0
"孢子/n"	49	0
"情感/n"	49	0
"板/n"	49	0
"眶/n"	46	3
"眼球/n"	49	0
"空肠/n"	48	1
"脊髓炎/n"	49	0
"蛛网/n"	26	23
"非机动车/n"	49	0
"心包/n"	30	18
"心室/n"	31	17
"心血管/n"	42	6
"房室/n"	30	18
"相关性/n"	48	0
"胰/n"	47	1
"蒸气/n"	48	0
"中耳炎/n"	47	0
"人/n"	47	0
"时/n"	47	0
"病理/n"	47	0
"阴囊/n"	44	3
"颅骨/n"	47	0
"丛/n"	46	0
"产科/n"	46	0
"体表/n"	46	0
"卡/n"	46	0
"淀粉/n"	45	1
"激素/n"	46	0
"脑积水/n"	46	0
"阵/n"	31	15
"骨骼/n"	46	0
"下颌/n"	45	0
"痰/n"	45	0
"癣/n"	45	0
"结构/n"	45	0
"银屑病/n"	45	0
"媒介/n"	44	0
"植物/n"	44	0
"浆/n"	44	0
"理性/n"	44	0
"粒细胞/n"	44	0
"肾衰竭/n"	36	8
"行/n"	41	3
"重症/n"	44	0
"动静/n"	29	14
"层/n"	43	0
"张力/n"	43	0
"性病/n"	43	0
"消化系统/n"	43	0
"玻璃体/n"	43	0
"老年性/n"	40	3
"自发性/n"	43	0
"葡萄胎/n"	43	0
"起源/n"	43	0
"化合物/n"	42	0
"因子/n"	42	0
"局限性/n"	40	2
"晶状体/n"	42	0
"混合型/n"	41	1
"生性/n"	42	0
"生殖器/n"	42	0
"类型/n"	33	9
"脑室/n"	42	0
"血小板/n"	42	0
"心力衰竭/n"	22	19
"感觉/n"	41	0
"栓/n"	23	18
"牲畜/n"	41	0
"肠炎/n"	41	0
"股骨/n"	41	0
"胸椎/n"	41	0
"孔/n"	40	0
"局/n"	39	1
"心房/n"	23	17
"桡骨/n"	40	0
"紫癜/n"	40	0
"肱骨/n"	40	0
"刺激性/n"	39	0
"唇裂/n"	39	0
"场所/n"	39	0
"声带/n"	39	0
"头皮/n"	39	0
"支架/n"	30	9
"气体/n"	39	0
"糖/n"	39	0
"肾脏/n"	25	14
"钙/n"	39	0
"间隔/n"	31	8
"丝/n"	36	2
"循环系统/n"	26	12
"持续性/n"	37	1
"掌/n"	38	0
"方式/n"	38	0
"月/n"	38	0
"疫苗/n"	38	0
"葡萄球菌/n"	38	0
"听觉/n"	37	0
"呼吸系统/n"	37	0
"外耳道/n"	37	0
"幼/n"	37	0
"族/n"	37	0
"机能/n"	35	2
"眼眶/n"	36	1
"积水/n"	37	0
"网膜/n"	29	8
"血清/n"	37	0
"过敏性/n"	37	0
"阑尾/n"	37	0
"因素/n"	34	2
"心理/n"	36	0
"心绞痛/n"	18	18
"溶剂/n"	36	0
"盆/n"	36	0
"肝硬化/n"	36	0
"背部/n"	36	0
"胫/n"	33	3
"胫骨/n"	36	0
"腭裂/n"	36	0
"额/n"	36	0
"儿童/n"	35	0
"巩膜/n"	35	0
"暂时性/n"	35	0
"环境/n"	35	0
"生物制品/n"	35	0
"疟疾/n"	35	0
"缝/n"	35	0
"肠梗阻/n"	35	0
"脑神经/n"	35	0
"荨麻疹/n"	35	0
"表皮/n"	35	0
"酸中毒/n"	35	0
"铁/n"	35	0
"害/n"	34	0
"尺骨/n"	34	0
"抗生素/n"	34	0
"措施/n"	34	0
"胆囊炎/n"	34	0
"臂/n"	33	1
"视神经/n"	34	0
"伤寒/n"	33	0
"动脉血/n"	18	15
"天疱疮/n"	33	0
"总管/n"	33	0
"机构/n"	33	0
"神经性/n"	33	0
"肢/n"	31	2
"谵妄/n"	33	0
"髌骨/n"	33	0
"上颌/n"	32	0
"主/n"	23	9
"保健/n"	32	0
"典型/n"	32	0
"动脉硬化/n"	20	12
"哮喘/n"	31	1
"圆/n"	32	0
"影像/n"	32	0
"格/n"	30	2
"烟草/n"	32	0
"牙龈/n"	32	0
"疝/n"	32	0
"碱/n"	32	0
"神经炎/n"	32	0
"肝病/n"	32	0
"腓骨/n"	32	0
"附件/n"	32	0
"高压/n"	24	8
"会厌/n"	31	0
"传染性/n"	31	0
"前庭/n"	31	0
"口炎/n"	31	0
"呼吸器官/n"	31	0
"拇指/n"	31	0
"斑疹/n"	31	0
"月经/n"	31	0
"职业性/n"	31	0
"色素/n"	31	0
"躯体/n"	31	0
"鳞/n"	31	0
"中耳/n"	30	0
"低血压/n"	18	12
"作用/n"	30	0
"免疫性/n"	30	0
"兴奋剂/n"	30	0
"器械/n"	30	0
"带状/n"	30	0
"成人/n"	30	0
"波/n"	30	0
"消化道/n"	30	0
"激素类/n"	30	0
"环/n"	30	0
"痤疮/n"	30	0
"肋骨/n"	30	0
"肘关节/n"	30	0
"胃炎/n"	30	0
"胸骨/n"	30	0
"膀胱炎/n"	30	0
"苯/n"	30	0
"血吸虫/n"	30	0
"衣原/n"	30	0
"乳腺/n"	28	1
"咽炎/n"	29	0
"大肠/n"	29	0
"心律/n"	19	10
"活性/n"	29	0
"痢疾/n"	29	0
"白喉/n"	29	0
"白斑/n"	29	0
"社会/n"	29	0
"神经痛/n"	29	0
"窦炎/n"	29	0
"系统性/n"	28	1
"胆管炎/n"	29	0
"脂/n"	29	0
"脐/n"	29	0
"腮腺炎/n"	29	0
"衍生物/n"	29	0
"阿米巴/n"	29	0
"内分泌腺/n"	28	0
"功能性/n"	26	2
"杀虫剂/n"	28	0
"梭/n"	28	0
"槽/n"	28	0
"汗/n"	28	0
"活/n"	28	0
"烟雾/n"	26	2
"百日咳/n"	28	0
"窝/n"	28	0
"羊水/n"	28	0
"胞/n"	28	0
"臀/n"	28	0
"角膜炎/n"	28	0
"镇静剂/n"	28	0
"镜/n"	28	0
"乙状结肠/n"	27	0
"原虫/n"	27	0
"地/n"	27	0
"布/n"	27	0
"情绪/n"	27	0
"放射性/n"	27	0
"病原体/n"	27	0
"全身/n"	26	0
"夹层/n"	13	13
"毛囊/n"	26	0
"气/n"	26	0
"氨/n"	26	0
"灰质炎/n"	26	0
"用途/n"	26	0
"盲/n"	26	0
"级/n"	19	7
"网状/n"	26	0
"肘/n"	26	0
"色/n"	26	0
"路/n"	24	2
"阑尾炎/n"	26	0
"附睾/n"	26	0
"颊/n"	26	0
"麻醉药/n"	26	0
"中枢/n"	25	0
"利/n"	24	1
"动物/n"	25	0
"可卡因/n"	25	0
"氧/n"	25	0
"水/n"	25	0
"疟原虫/n"	25	0
"科/n"	25	0
"粪/n"	25	0
"细胞学/n"	25	0
"肛管/n"	24	1
"肩胛/n"	25	0
"胃肠炎/n"	25	0
"胎膜/n"	25	0
"胺/n"	25	0
"腮腺/n"	24	1
"霍乱/n"	25	0
"音/n"	25	0
"鼓膜/n"	25	0
"鼠疫/n"	25	0
"受体/n"	24	0
"大肠杆菌/n"	24	0
"官/n"	24	0
"幽门/n"	24	0
"弓形/n"	24	0
"梅/n"	24	0
"泌尿器/n"	24	0
"流感/n"	24	0
"盆腔炎/n"	24	0
"绦虫/n"	24	0
"肺气肿/n"	24	0
"象/n"	22	2
"酸性/n"	22	2
"雷/n"	21	3
"髓/n"	24	0
"鼻窦炎/n"	24	0
"中心/n"	23	0
"中非/n"	23	0
"低血糖/n"	23	0
"出血热/n"	23	0
"分枝/n"	23	0
"医院/n"	23	0
"大麻类/n"	23	0
"德/n"	19	4
"性气/n"	23	0
"痛风/n"	23	0
"盐/n"	23	0
"碘/n"	23	0
"肿块/n"	23	0
"胆汁/n"	23	0
"胶质/n"	23	0
"阴道炎/n"	23	0
"光/n"	22	0
"分支/n"	12	10
"咖啡因/n"	22	0
"氨基酸/n"	22	0
"火器/n"	22	0
"甲状腺炎/n"	22	0
"红斑狼疮/n"	22	0
"结果/n"	22	0
"肋/n"	22	0
"胃溃疡/n"	22	0
"霉病/n"	22	0
"骨炎/n"	22	0
"麻疹/n"	22	0
"黄色/n"	22	0
"鼻窦/n"	22	0
"建筑/n"	21	0
"形态学/n"	21	0
"截瘫/n"	21	0
"挥发性/n"	21	0
"汗腺/n"	21	0
"浆液/n"	21	0
"液体/n"	21	0
"石/n"	20	1
"胚胎/n"	21	0
"视力/n"	21	0
"诺/n"	18	3
"针/n"	21	0
"鼻炎/n"	21	0
"产钳/n"	20	0
"催眠药/n"	20	0
"先兆/n"	20	0
"合体/n"	20	0
"品行/n"	20	0
"型心/n"	10	10
"外因/n"	20	0
"子痫/n"	20	0
"平滑肌/n"	20	0
"心境/n"	20	0
"机制/n"	20	0
"毛发/n"	20	0
"沙门/n"	20	0
"火焰/n"	20	0
"肢体/n"	19	1
"腋/n"	18	2
"苔/n"	20	0
"门/n"	19	1
"阴性/n"	20	0
"髋/n"	20	0
"交感神经/n"	19	0
"受害者/n"	19	0
"新月/n"	19	0
"沉积物/n"	19	0
"海绵/n"	16	3
"瞳孔/n"	19	0
"肩胛骨/n"	19	0
"肺病/n"	19	0
"腱鞘/n"	19	0
"节肢动物/n"	19	0
"蠕虫/n"	19	0
"言语/n"	19	0
"设施/n"	19	0
"贲门/n"	19	0
"输精管/n"	19	0
"镇/n"	19	0
"雅司病/n"	19	0
"颌下腺/n"	19	0
"骨膜/n"	19	0
"麻风/n"	19	0
"丘疹/n"	18	0
"丝虫病/n"	18	0
"乘客/n"	18	0
"体重/n"	18	0
"内痔/n"	9	9
"危/n"	17	1
"司机/n"	18	0
"喉炎/n"	18	0
"土/n"	18	0
"氨基/n"	18	0
"氯/n"	18	0
"烃/n"	18	0
"狼疮/n"	18	0
"白质/n"	16	2
"皮肤病/n"	18	0
"眼科/n"	18	0
"素性/n"	17	1
"肺泡/n"	18	0
"醛/n"	18	0
"风疹/n"	18	0
"不孕症/n"	17	0
"丙酮/n"	17	0
"乳糜/n"	13	4
"副伤寒/n"	17	0
"卒/n"	13	4
"家庭/n"	17	0
"常规/n"	17	0
"廓/n"	17	0
"弓/n"	17	0
"抗体/n"	17	0
"掌骨/n"	17	0
"气胸/n"	17	0
"涎/n"	17	0
"湿疹/n"	17	0
"点/n"	17	0
"牙髓/n"	17	0
"牙齿/n"	17	0
"病原/n"	17	0
"瘾/n"	17	0
"盲肠/n"	17	0
"程度/n"	17	0
"空洞/n"	17	0
"粉尘/n"	17	0
"耳鼻喉科/n"	17	0
"舞蹈/n"	12	5
"船舶/n"	17	0
"苔藓/n"	17	0
"面神经/n"	17	0
"鼻腔/n"	17	0
"一般性/n"	16	0
"伯/n"	16	0
"儿/n"	16	0
"咽喉/n"	16	0
"坐骨/n"	16	0
"尘埃/n"	16	0
"幕/n"	16	0
"枢/n"	16	0
"泪腺/n"	16	0
"火/n"	16	0
"环状/n"	16	0
"破伤风/n"	16	0
"碳/n"	16	0
"粟/n"	16	0
"肌纤维/n"	15	1
"脑瘫/n"	16	0
"臀部/n"	16	0
"螺旋体/n"	16	0
"血糖/n"	16	0
"视觉/n"	16	0
"酯/n"	16	0
"镁/n"	16	0
"门静脉/n"	12	4
"鱼鳞/n"	16	0
"丁/n"	15	0
"上端/n"	15	0
"先天/n"	15	0
"农业/n"	15	0
"包皮/n"	15	0
"囊虫/n"	15	0
"心功能/n"	9	6
"心性/n"	15	0
"感性/n"	15	0
"疹/n"	15	0
"瘘/n"	15	0
"耳廓/n"	14	1
"耻骨/n"	15	0
"肺部/n"	15	0
"胸膜炎/n"	15	0
"蛆/n"	15	0
"蝇/n"	15	0
"蝶/n"	15	0
"长骨/n"	15	0
"间隙/n"	15	0
"青少年/n"	15	0
"鞘/n"	15	0
"骨干/n"	15	0
"麻醉品/n"	15	0
"半球/n"	8	6
"卤素/n"	14	0
"危险/n"	14	0
"卵/n"	14	0
"压力/n"	14	0
"处女膜/n"	14	0
"外痔/n"	7	7
"小叶/n"	14	0
"尾/n"	14	0
"尾骨/n"	14	0
"尿道炎/n"	14	0
"带菌者/n"	14	0
"微生物学/n"	14	0
"感觉神经/n"	14	0
"松果/n"	14	0
"横纹肌/n"	14	0
"沙/n"	14	0
"沟/n"	14	0
"潜伏性/n"	14	0
"炭疽/n"	14	0
"盐类/n"	14	0
"硬皮病/n"	14	0
"磷酸/n"	14	0
"肝硬变/n"	14	0
"胆碱/n"	14	0
"踝/n"	14	0
"边缘/n"	14	0
"骨病/n"	14	0
"黄斑/n"	14	0
"代用品/n"	13	0
"制品/n"	13	0
"动力/n"	13	0
"壶/n"	13	0
"工业/n"	13	0
"成分/n"	13	0
"指甲/n"	13	0
"曲霉/n"	13	0
"气压/n"	13	0
"水痘/n"	13	0
"热带/n"	13	0
"目的/n"	13	0
"神经科/n"	13	0
"糠/n"	13	0
"纤/n"	7	6
"绒毛/n"	13	0
"结合膜/n"	13	0
"羊膜/n"	13	0
"肠穿孔/n"	13	0
"肥胖症/n"	13	0
"能量/n"	13	0
"腰部/n"	13	0
"腱鞘炎/n"	13	0
"舟/n"	13	0
"葡萄/n"	13	0
"蒂/n"	13	0
"蚴/n"	13	0
"蛋白质/n"	13	0
"趾甲/n"	13	0
"踝骨/n"	13	0
"边缘性/n"	13	0
"钾/n"	13	0
"飞行器/n"	13	0
"食性/n"	13	0
"骨肉/n"	13	0
"骶骨/n"	13	0
"丘脑/n"	8	4
"个体/n"	12	0
"乳糖/n"	12	0
"典型性/n"	12	0
"剂/n"	12	0
"叶酸/n"	12	0
"寰/n"	12	0
"平面/n"	12	0
"态/n"	12	0
"情/n"	12	0
"手足/n"	12	0
"括约肌/n"	12	0
"插管/n"	12	0
"星形/n"	12	0
"烟/n"	12	0
"病因/n"	12	0
"皮脂腺/n"	12	0
"真空/n"	12	0
"管状/n"	12	0
"精神性/n"	12	0
"组织学/n"	12	0
"肌瘤/n"	12	0
"肺静脉/n"	10	2
"腕骨/n"	12	0
"血浆/n"	12	0
"角质/n"	12	0
"语言/n"	12	0
"选择性/n"	12	0
"釉/n"	12	0
"镰/n"	12	0
"阳性/n"	12	0
"非典/n"	12	0
"颏/n"	11	1
"马/n"	12	0
"马尾/n"	12	0
"骑手/n"	12	0
"齿/n"	12	0
"伤/n"	11	0
"动脉弓/n"	7	4
"周期/n"	11	0
"地带/n"	11	0
"地方/n"	11	0
"头颈/n"	11	0
"妇产科/n"	11	0
"库/n"	11	0
"底细/n"	11	0
"技能/n"	11	0
"晒斑/n"	11	0
"林/n"	11	0
"模式/n"	11	0
"爪/n"	11	0
"狂犬病/n"	11	0
"电解质/n"	11	0
"畸胎/n"	11	0
"白细胞/n"	11	0
"睑/n"	11	0
"硬腭/n"	11	0
"纵向/n"	11	0
"结晶/n"	11	0
"胼胝/n"	11	0
"脐疝/n"	11	0
"腐蚀性/n"	11	0
"腰椎间盘/n"	11	0
"腿/n"	11	0
"获得性/n"	11	0
"血友病/n"	11	0
"褥疮/n"	11	0
"趾骨/n"	11	0
"蹼/n"	11	0
"身材/n"	11	0
"钩虫/n"	11	0
"铬/n"	11	0
"间歇/n"	10	1
"雌激素/n"	11	0
"霉/n"	11	0
"青霉素/n"	11	0
"鞍/n"	11	0
"顺产/n"	11	0
"颌/n"	11	0
"骨结核/n"	11	0
"乳腺炎/n"	10	0
"产品/n"	10	0
"关系/n"	10	0
"内耳/n"	10	0
"减数/n"	10	0
"取向/n"	10	0
"同类/n"	10	0
"听力/n"	10	0
"外分泌/n"	10	0
"头骨/n"	10	0
"尘肺/n"	10	0
"尿崩症/n"	10	0
"尿毒症/n"	10	0
"尿酸/n"	10	0
"干酪/n"	10	0
"房屋/n"	10	0
"文化/n"	10	0
"枕骨/n"	10	0
"桥/n"	9	1
"毒液/n"	10	0
"气管炎/n"	10	0
"氮/n"	10	0
"沙眼/n"	10	0
"海/n"	10	0
"父母/n"	10	0
"牙周炎/n"	10	0
"病态/n"	8	2
"病虫/n"	10	0
"矿物质/n"	10	0
"磷/n"	10	0
"稳定性/n"	8	2
"窦性/n"	7	3
"窦非/n"	5	5
"精囊/n"	10	0
"糖原/n"	10	0
"结核病/n"	10	0
"翼/n"	10	0
"肺水肿/n"	9	1
"肾结石/n"	10	0
"胆红素/n"	10	0
"胶/n"	10	0
"芳香/n"	10	0
"茎/n"	10	0
"蚊/n"	10	0
"蛔虫病/n"	10	0
"表/n"	10	0
"软腭/n"	10	0
"连续性/n"	10	0
"酮/n"	10	0
"金属/n"	10	0
"钩/n"	10	0
"附睾炎/n"	10	0
"顶叶/n"	10	0
"风湿热/n"	6	4
"龟头/n"	10	0
"上下/n"	8	1
"习惯/n"	9	0
"人工流产/n"	9	0
"低温/n"	9	0
"体温/n"	9	0
"内斜视/n"	9	0
"内脏/n"	9	0
"切口/n"	9	0
"利尿剂/n"	9	0
"剂量/n"	9	0
"力量/n"	9	0
"单眼/n"	9	0
"周期性/n"	9	0
"声门/n"	9	0
"复杂性/n"	9	0
"外貌/n"	9	0
"多糖/n"	9	0
"头面/n"	9	0
"子/n"	9	0
"尾部/n"	9	0
"屈光/n"	9	0
"性行为/n"	9	0
"手枪/n"	9	0
"手段/n"	9	0
"指骨/n"	9	0
"方法/n"	9	0
"标记/n"	9	0
"步枪/n"	9	0
"油/n"	9	0
"法/n"	9	0
"滴虫病/n"	9	0
"牙根/n"	9	0
"猎枪/n"	9	0
"球形/n"	9	0
"疖/n"	9	0
"痈/n"	9	0
"皮层/n"	9	0
"直肠炎/n"	9	0
"胰岛/n"	9	0
"脊椎炎/n"	9	0
"节育器/n"	9	0
"血液学/n"	9	0
"角子/n"	9	0
"语/n"	9	0
"跗骨/n"	9	0
"通体/n"	9	0
"铜/n"	9	0
"隙/n"	8	1
"颧骨/n"	9	0
"风湿病/n"	9	0
"骨质增生/n"	9	0
"鳃/n"	9	0
"黄热病/n"	9	0
"龄/n"	9	0
"δ/n"	8	0
"中央/n"	8	0
"中性/n"	8	0
"习惯性/n"	8	0
"倾向/n"	8	0
"入口/n"	8	0
"兰/n"	8	0
"动作/n"	8	0
"十字/n"	8	0
"升结肠/n"	8	0
"听神经/n"	8	0
"嗅神经/n"	8	0
"嗅觉/n"	8	0
"噪声/n"	8	0
"回流/n"	4	4
"家/n"	8	0
"床/n"	8	0
"成员/n"	8	0
"效/n"	8	0
"数量/n"	8	0
"椎骨/n"	8	0
"横结肠/n"	8	0
"步/n"	8	0
"母亲/n"	8	0
"毒素/n"	8	0
"水疱/n"	8	0
"活动性/n"	8	0
"深部/n"	6	2
"牙科/n"	8	0
"瓦/n"	7	1
"生理/n"	8	0
"病灶/n"	8	0
"皮疹/n"	8	0
"短骨/n"	8	0
"硅/n"	8	0
"神经元/n"	8	0
"空气/n"	8	0
"类固醇/n"	8	0
"红蛋/n"	8	0
"绒毛状/n"	8	0
"肛瘘/n"	8	0
"肝脏/n"	8	0
"胆固醇/n"	8	0
"脂肪肝/n"	8	0
